titulo;noticia;data;link
'Vou voltar a fazer o que eu amo', diz sobrevivente do incêndio no Ninho que ainda está internado ;Jhonata Ventura teve quase 40% do corpo queimado e atualmente está em tratamento em um hospital particular. ;2019-03-08T22:00:05.932Z;https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/03/08/vou-voltar-a-fazer-o-que-eu-amo-diz-sobrevivente-do-incendio-no-ninho-que-ainda-esta-internado.ghtml
Ato pede respeito aos direitos das mulheres e justiça para Marielle no Centro do Rio;Protesto começou na Cinelândia, em direção à Cinelândia.;2019-03-08T21:58:57.102Z;https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/03/08/ato-pede-respeito-aos-direitos-das-mulheres-e-justica-para-marielle-no-centro-do-rio.ghtml
Rua Voluntários da Pátria, em Botafogo, tem tiroteio na tarde desta sexta;Segundo a PM, criminosos tentaram assaltar uma loja na importante via da Zona Sul. Durante a ação alguns disparos foram feitos. A polícia segue na região buscando os criminosos.;2019-03-08T21:04:04.651Z;https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/03/08/rua-voluntarios-da-patria-em-botafogo-tem-tiroteio-na-tarde-desta-sexta.ghtml
Conheça os heróis citados no samba e no enredo da Mangueira no carnaval de 2019;Escola foi campeã com enredo que mostra o outro lado da História do Brasil. Personagens histórico e atuais fazem parte de “História para ninar gente grande’.;2019-03-08T19:16:21.670Z;https://g1.globo.com/rj/rio-de-janeiro/carnaval/2019/noticia/2019/03/08/conheca-os-herois-citados-no-samba-e-no-enredo-da-mangueira-no-carnaval-de-2019.ghtml
Carnaval de rua: festas do Rio e de São Paulo atraem centenas de blocos e milhões de pessoas; veja números;São Paulo teve mais blocos de rua considerando o pré-carnaval. Já o Rio de Janeiro bate os paulistas quando se fala nos quatro dias de folia, além de atrair mais turistas e movimentar mais dinheiro.;2019-03-08T17:31:34.203Z;https://g1.globo.com/carnaval/2019/noticia/2019/03/08/carnaval-de-rua-festas-do-rio-e-de-sao-paulo-atraem-centenas-de-blocos-e-milhoes-de-pessoas-veja-numeros.ghtml
PM confirma a morte de policial baleado na Rocinha;O soldado Leandro Venerando, de 33 anos, morreu na tarde desta sexta-feira (08). Ele foi baleado na cabeça durante uma troca de tiros na Rocinha, na Zona Sul do RJ;2019-03-08T23:22:19.720Z;https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/03/08/pm-confirma-a-morte-de-policial-baleado-na-rocinha.ghtml
Lei do Estacionamento prevê transformar tempo não usado pelo consumidor em créditos;Prefeito Marcelo Crivella regulamentou a lei, mas ela ainda não está valendo porque está suspensa por uma liminar. ;2019-03-08T23:07:10.431Z;https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/03/08/lei-do-estacionamento-preve-transformar-tempo-nao-usado-pelo-consumidor-em-creditos.ghtml
Sábado pós-carnaval no Rio tem Bloco das Poderosas e mais 24;Folia da cantora Anitta deve atrair 400 mil pessoas, segundo a Prefeitura.;null;https://g1.globo.com/rj/rio-de-janeiro/carnaval/2019/ao-vivo/blocos-de-carnaval-rio-de-janeiro.ghtml
FOTOS: Confira looks dos famosos no Bloco das Poderosas, no Rio;Desfile deve atrair cerca de 400 mil pessoas, segundo estimativa da Riotur.;2019-03-09T12:21:19.216Z;https://g1.globo.com/rj/rio-de-janeiro/carnaval/2019/noticia/2019/03/09/fotos-confira-looks-dos-famosos-no-bloco-das-poderosas-no-rio.ghtml
'O que mais fiz nesse carnaval foi beijar na boca', diz Anitta antes de arrastar multidão com Bloco das Poderosas;Fãs da cantora tomaram as ruas para curtir a folia do sábado pós-carnaval. Esse foi o quarto ano de desfile do megabloco; RioTur estima 400 mil foliões.;2019-03-09T11:31:38.191Z;https://g1.globo.com/rj/rio-de-janeiro/carnaval/2019/noticia/2019/03/09/o-que-mais-fiz-nesse-carnaval-foi-beijar-na-boca-diz-anitta-antes-do-bloco-das-poderosas.ghtml
Polícia prende suspeito de tentativa de feminicídio no RJ que trabalhava como segurança em estação de trem;Ele foi levado para a 51ª DP, em Paracambi, onde o caso é investigado.;2019-03-09T11:08:46.598Z;https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/03/09/policia-prende-suspeito-de-tentativa-de-feminicidio-na-baixada-fluminense.ghtml
Sábado pós-carnaval tem Bloco das Poderosas, de Anitta, e outros 24 no Rio;Bloco das Poderosas deve atrair 400 mil pessoas, segundo Prefeitura. Riotur manteve esquema de segurança do Fervo da Lud.;2019-03-09T06:00:40.774Z;https://g1.globo.com/rj/rio-de-janeiro/carnaval/2019/noticia/2019/03/09/sabado-pos-carnaval-tem-bloco-das-poderosas-de-anitta-e-outros-24-no-rio.ghtml
Incêndio atinge depósito do Detran em Caxias;Não há informações sobre feridos. ;2019-03-09T18:47:15.703Z;https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/03/09/incendio-atinge-deposito-do-detran-em-caxias.ghtml
Youtuber de Goiânia dança com Anitta e traduz música para Libras;Gabriel Isaac foi convidado para ir ao show da cantora usando uma mochila que vibra conforme a música. Ele ficou conhecido por ter clipes em Libras curtidos por artistas.;2019-03-09T18:11:50.802Z;https://g1.globo.com/go/goias/noticia/2019/03/09/youtuber-de-goiania-danca-com-anitta-no-trio-e-traduz-musica-para-libras.ghtml
SIGA: sábado pós-carnaval no Rio tem Anitta, Quizomba e outros blocos;Bloco das Poderosas reuniu 420 mil foliões no Centro. ;null;https://g1.globo.com/rj/rio-de-janeiro/carnaval/2019/ao-vivo/blocos-de-carnaval-rio-de-janeiro.ghtml
Irmã de jovem atingida por reboco de varanda no Leblon diz que está otimista com sua recuperação;Larissa Spezani já passou por três cirurgias e está em estado gravíssimo em um hospital na Barra da Tijuca. ;2019-03-09T17:56:57.424Z;https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/03/09/irma-de-jovem-atingida-por-reboco-de-varanda-no-leblon-diz-que-esta-otimista-com-sua-recuperacao.ghtml
Desfile das Campeãs do carnaval do Rio;As seis escolas mais bem colocadas do Grupo Especial voltam à Marques de Sapucaí.;null;https://g1.globo.com/rj/rio-de-janeiro/carnaval/2019/ao-vivo/desfile-das-campeas-do-carnaval-do-rio.ghtml